Comunidad;Provincia;Distrito Notarial;Localidad / Plaza;Clase;Notas;Anterior Notario
País Vasco;Araba/Álava;;Vitoria-Gasteiz;Desierta;Nº1;Sofía Trapote González
Principado de Asturias;Asturias;;Avilés;Desierta;Nº15;Luis Sobrino González
País Vasco;Araba/Álava;;Vitoria-Gasteiz;Desierta;Nº16;María del Camino López de Heredia San Julián
Castilla y León;León;;Ponferrada;Desierta;Nº41;Bernardo Martínez López
Castilla y León;León;;Ponferrada;Desierta;Nº45;Jorge Luis Sánchez Carballo
Castilla y León;León;;Fabero;Desierta;Nº56;José Rodrigo Nieto Basarán
Castilla y León;León;;Cistierna;Desierta;Nº58;Jesús Sen Salles
Galicia;Lugo;;Meira;Desierta;Nº59;Ignacio Garrido García
Extremadura;Cáceres;;Garrovillas de Alconétar;Desierta;Nº60;Ignacio Capitán Sierra
Galicia;Ourense;;O Barco de Valdeorras;Desierta;Nº61;Gabriela Victoria Marqués Mosquera
Castilla y León;Salamanca;;Ciudad Rodrigo;Desierta;Nº62;Francisco Echávarri López
Comunitat Valenciana;Castelló/Castellón;;Sant Mateu;Desierta;Nº63;Elena Dacal Rodríguez
Galicia;Pontevedra;;A Cañiza;Desierta;Nº77;Tamara Casal Esperanza
La Rioja;La Rioja;;Arnedo;Desierta;Nº78;Susana Garzón Echevarría
Principado de Asturias;Asturias;;Boal;Desierta;Nº79;Sergio Cardona Costa
Castilla y León;Ávila;;Fontiveros;Desierta;Nº80;Sara Riesco Gacho
Galicia;Lugo;;A Pontenova;Desierta;Nº81;Rosalía Priego Sancho
Comunidad Foral de Navarra;Navarra;;Ochagavía/Otsagabia;Desierta;Nº82;Rita Mercedes Martínez Pérez
Castilla y León;Palencia;;Osorno la Mayor;Desierta;Nº84;Patricia Olivencia Cerezo
Aragón;Teruel;;Mosqueruela;Desierta;Nº85;Patricia Martínez Calderón
Comunidad Foral de Navarra;Navarra;;Aoiz/Agoitz;Desierta;Nº86;Paloma López de Uralde Alcoba
Andalucía;Córdoba;;Iznájar;Desierta;Nº87;Marta Muñagorri Eceiza
Castilla y León;León;;Villamañán;Desierta;Nº88;María Teresa Pérez Dapena
Aragón;Huesca;;Tamarite de Litera;Desierta;Nº89;María Teresa García Ludefa
Illes Balears;Illes Balears;;Felanitx;Desierta;Nº90;María Magdalena Sans Gelabert
Galicia;Lugo;;Castroverde;Desierta;Nº92;Manuel Pulgar Malo de Molina
La Rioja;La Rioja;;Torrecilla en Cameros;Desierta;Nº93;Macarena Riquelme Sánchez de la Viña
Galicia;Lugo;;Friol;Desierta;Nº95;Lucas Braquehais Conesa
Principado de Asturias;Asturias;;Panes;Desierta;Nº97;José Luis Meana Valdés
Cantabria;Cantabria;;Corvera de Toranzo;Desierta;Nº98;José Ignacio de Solas Rodríguez-Hermida
Castilla y León;León;;Puente de Domingo Flórez;Desierta;Nº99;Jorge Ron Latas
Principado de Asturias;Asturias;;Proaza;Desierta;Nº100;Javier Valverde Cuevas
Extremadura;Cáceres;;Guadalupe;Desierta;Nº102;Fernando Martínez Segura
Aragón;Zaragoza;;Sos del Rey Católico;Desierta;Nº104;Eva María Esteras Aure
Principado de Asturias;Asturias;;Trevías;Desierta;Nº105;Diego Aparicio Mourelo
Aragón;Huesca;;Benasque;Desierta;Nº106;Clara Castillón Porqueras
Castilla y León;Soria;;Arcos de Jalón;Desierta;Nº107;Carmen Alicia Graiño Calaza
Comunidad Foral de Navarra;Navarra;;Lekunberri;Desierta;Nº108;Carlos Ibáñez López
Castilla y León;Salamanca;;Tamames;Desierta;Nº109;Ariel Sultán Benguigui
Galicia;Ourense;;Bande;Desierta;Nº112;Álvaro Romero García
Illes Balears;Illes Balears;;Petra;Desierta;Nº113;Álvaro Obando Viada
Castilla y León;Valladolid;;Valoria la Buena;Desierta;Nº114;Álvaro Cordero Taborda
Galicia;Lugo;;Palas de Rei;Desierta;Nº115;Alejandro Jaime Sauca Núñez de Prado
Castilla y León;Burgos;;Roa;Desierta;Nº116;Adela María Solís García
Comunidad Foral de Navarra;Navarra;;Estella-Lizarra;Desierta;Nº117;Ricardo Viana Ruiz
País Vasco;Bizkaia/Vizcaya;;Areatza;Desierta;Nº119;Pedro Álvarez Blanco
Castilla y León;Ávila;;El Barco de Ávila;Desierta;Nº121;Marta Domínguez Merino
Castilla-La Mancha;Albacete;;Barrax;Desierta;Nº122;María Victoria Huertas Martín del Olmo
Castilla-La Mancha;Guadalajara;;Sacedón;Desierta;Nº123;María de La O del Río Aguiar
Illes Balears;Illes Balears;;Alaró;Desierta;Nº128;David Fiol Busquets
Aragón;Zaragoza;;Maella;Desierta;Nº132;Víctor Gas Ferrer
Aragón;Huesca;;Berdún;Desierta;Nº133;Rebeca Pueyo Cajal
Castilla y León;Palencia;;Frechilla;Desierta;Nº134;Mónica María Jurjo García
Castilla y León;Salamanca;;La Vellés;Desierta;Nº136;María Ruiz Aldanondo
País Vasco;Gipuzkoa/Guipúzcoa;;Bergara;Desierta;Nº137;María Longarte Ulacia
País Vasco;Bizkaia/Vizcaya;;Karrantza Harana/Valle de Carranza;Desierta;Nº138;María del Carmen Retamar García
Aragón;Huesca;;Ayerbe;Desierta;Nº139;María Concepción Granado Fernández de la Pradilla
Castilla y León;Burgos;;Villarcayo de Merindad de Castilla la Vieja;Desierta;Nº140;José Millaruelo Frontela
Castilla y León;Palencia;;Herrera de Pisuerga;Desierta;Nº141;José Ángel Ramírez Díaz
Galicia;Lugo;;Monterroso;Desierta;Nº142;Faustino Rodríguez-Segade Vázquez
Castilla y León;Salamanca;;Lumbrales;Desierta;Nº143;Encarnación García Campos
Castilla y León;Palencia;;Villada;Desierta;Nº144;Daniel Villagrá Morán
Castilla y León;Burgos;;Melgar de Fernamental;Desierta;Nº145;Carmen Solís Pino
Aragón;Teruel;;Albarracín;Desierta;Nº146;Antonio Méndez Lindo
Castilla y León;León;;Valderas;Desierta;Nº147;Ana Sulleiro Avendaño
Cataluña;Barcelona;;Barcelona (Vacante F. Bautista Pérez);Desierta;Concurso autonómico;Fernando Bautista Pérez
Cataluña;Barcelona;;L'Hospitalet de Llobregat (Vacante M. Sánchez García);Desierta;Concurso autonómico;María Sánchez García
Cataluña;Barcelona;;Barcelona (Vacante J. L. Iribarne Blanco);Desierta;Concurso autonómico;José Lorenzo Iribarne Blanco
Cataluña;Barcelona;;Barcelona (Vacante T. M. Villazán Tovar);Desierta;Concurso autonómico;Teresa María Villazán Tovar
Cataluña;Barcelona;;Esplugues de Llobregat;Desierta;Concurso autonómico;María Gracia Criado Fernández
Cataluña;Barcelona;;Badia del Vallès;Desierta;Concurso autonómico;Sara Indurain Tornos
Cataluña;Barcelona;;Vilanova del Camí;Desierta;Concurso autonómico;Fernando Pascual González Barranca
Cataluña;Barcelona;;Granollers;Desierta;Concurso autonómico;José Poyatos Díaz
Cataluña;Girona;;Palafrugell;Desierta;Concurso autonómico;Jaime Fernández Tussy
Cataluña;Girona;;Figueres;Desierta;Concurso autonómico;Juan Fortaner Torrent
Cataluña;Girona;;Camprodon;Desierta;Concurso autonómico;Guillermo Martín-Riva Ruiz
Cataluña;Girona;;L'Escala;Desierta;Concurso autonómico;María José Solís de la Fuente
Cataluña;Girona;;Hostalric;Desierta;Concurso autonómico;Juan Fortaner Torrent
Cataluña;Girona;;Palamós;Desierta;Concurso autonómico;Juan Ignacio Sorigue Abel
Cataluña;Girona;;Torroella de Montgrí-Estartit;Desierta;Concurso autonómico;Rocío Ramírez López-Frías
Cataluña;Lleida;;Lleida (Vacante M. Sansalvado Chalaux);Desierta;Concurso autonómico;Marcos Sansalvado Chalaux
Cataluña;Lleida;;Sant Joan de Vilatorrada;Desierta;Concurso autonómico;Pedro Pablo Albiol Ballesteros
Cataluña;Lleida;;Sort;Desierta;Concurso autonómico;Santiago Javier Castillo Gutiérrez
Cataluña;Lleida;;La Pobla de Segur;Desierta;Concurso autonómico;María del Pilar Navarro Fraile
Cataluña;Tarragona;;Constantí;Desierta;Concurso autonómico;Dulce María Pascual Pardo
Cataluña;Tarragona;;Flix;Desierta;Concurso autonómico;Nueva creación
Cataluña;Tarragona;;Xerta;Desierta;Concurso autonómico;Jezabel Rodríguez Jato
Cataluña;Tarragona;;La Selva del Camp;Desierta;Concurso autonómico;María de los Ángeles Picado Moreno
Comunitat Valenciana;València/Valencia;;Gandía;Resulta;Nº2;María José Perelló Agustina
Castilla-La Mancha;Ciudad Real;;Torralba de Calatrava;Resulta;Nº3;María Isabel Díaz Plaza
