Colegio Notarial;Nº Total de Notarías (Art. 4 RD 140/2015)
Colegio Notarial de Andalucía;490
Colegio Notarial de Aragón;97
Colegio Notarial de Asturias;69
Colegio Notarial de Cantabria;39
Colegio Notarial de Castilla-La Mancha;130
Colegio Notarial de Castilla y León;179
Colegio Notarial de Cataluña;491
Colegio Notarial de Extremadura;74
Colegio Notarial de Galicia;170
Colegio Notarial de La Rioja;22
Colegio Notarial de las Illes Balears;73
Colegio Notarial de las Islas Canarias;98
Colegio Notarial de Madrid;331
Colegio Notarial de Murcia;81
Colegio Notarial de Navarra;41
Colegio Notarial del País Vasco;130
Colegio Notarial de Valencia;339
TOTAL ESPAÑA;2854
